,manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class,register
27,chevrolet,corvette,6.2,2008,8,auto(s6),r,15,25,p,2seater,25/01/20
28,chevrolet,corvette,7,2008,8,manual(m6),r,15,24,p,2seater,04/04/20
29,chevrolet,k1500 tahoe 4wd,5.3,2008,8,auto(l4),4,14,19,r,suv,08/07/20
30,chevrolet,k1500 tahoe 4wd,5.3,2008,8,auto(l4),4,11,14,e,suv,08/07/20
31,chevrolet,k1500 tahoe 4wd,5.7,1999,8,auto(l4),4,11,15,r,suv,21/01/20
32,chevrolet,k1500 tahoe 4wd,6.5,1999,8,auto(l4),4,14,17,d,suv,20/04/20
33,chevrolet,malibu,2.4,1999,4,auto(l4),f,19,27,r,midsize,28/02/20
34,chevrolet,malibu,2.4,2008,4,auto(l4),f,22,30,r,midsize,19/02/20
35,chevrolet,malibu,3.1,1999,6,auto(l4),f,18,26,r,midsize,14/04/20
36,chevrolet,malibu,3.5,2008,6,auto(l4),f,18,29,r,midsize,23/01/20
37,chevrolet,malibu,3.6,2008,6,auto(s6),f,17,26,r,midsize,29/05/20
38,dodge,caravan 2wd,2.4,1999,4,auto(l3),f,18,24,r,minivan,27/02/20
39,dodge,caravan 2wd,3,1999,6,auto(l4),f,17,24,r,minivan,26/03/20
40,dodge,caravan 2wd,3.3,1999,6,auto(l4),f,16,22,r,minivan,25/02/20
41,dodge,caravan 2wd,3.3,1999,6,auto(l4),f,16,22,r,minivan,01/04/20
42,dodge,caravan 2wd,3.3,2008,6,auto(l4),f,17,24,r,minivan,30/05/20
43,dodge,caravan 2wd,3.3,2008,6,auto(l4),f,17,24,r,minivan,31/07/20
44,dodge,caravan 2wd,3.3,2008,6,auto(l4),f,11,17,e,minivan,31/07/20
45,dodge,caravan 2wd,3.8,1999,6,auto(l4),f,15,22,r,minivan,30/03/20
46,dodge,caravan 2wd,3.8,1999,6,auto(l4),f,15,21,r,minivan,26/01/20
47,dodge,caravan 2wd,3.8,2008,6,auto(l6),f,16,23,r,minivan,30/03/20
48,dodge,caravan 2wd,4,2008,6,auto(l6),f,16,23,r,minivan,17/02/20
49,dodge,dakota pickup 4wd,3.7,2008,6,manual(m6),4,15,19,r,pickup,04/04/20
50,dodge,dakota pickup 4wd,3.7,2008,6,auto(l4),4,14,18,r,pickup,21/04/20
51,dodge,dakota pickup 4wd,3.9,1999,6,auto(l4),4,13,17,r,pickup,13/05/20
52,dodge,dakota pickup 4wd,3.9,1999,6,manual(m5),4,14,17,r,pickup,06/07/20
53,dodge,dakota pickup 4wd,4.7,2008,8,auto(l5),4,14,19,r,pickup,20/02/20
54,dodge,dakota pickup 4wd,4.7,2008,8,auto(l5),4,14,19,r,pickup,09/04/20
55,dodge,dakota pickup 4wd,4.7,2008,8,auto(l5),4,9,12,e,pickup,09/07/20
56,dodge,dakota pickup 4wd,5.2,1999,8,manual(m5),4,11,17,r,pickup,06/04/20
57,dodge,dakota pickup 4wd,5.2,1999,8,auto(l4),4,11,15,r,pickup,14/04/20
58,dodge,durango 4wd,3.9,1999,6,auto(l4),4,13,17,r,suv,19/04/20
59,dodge,durango 4wd,4.7,2008,8,auto(l5),4,13,17,r,suv,18/01/20
60,dodge,durango 4wd,4.7,2008,8,auto(l5),4,9,12,e,suv,17/02/20
61,dodge,durango 4wd,4.7,2008,8,auto(l5),4,13,17,r,suv,14/04/20
62,dodge,durango 4wd,5.2,1999,8,auto(l4),4,11,16,r,suv,27/04/20
63,dodge,durango 4wd,5.7,2008,8,auto(l5),4,13,18,r,suv,07/06/20
64,dodge,durango 4wd,5.9,1999,8,auto(l4),4,11,15,r,suv,05/03/20
65,dodge,ram 1500 pickup 4wd,4.7,2008,8,manual(m6),4,12,16,r,pickup,14/02/20
66,dodge,ram 1500 pickup 4wd,4.7,2008,8,auto(l5),4,9,12,e,pickup,21/05/20
67,dodge,ram 1500 pickup 4wd,4.7,2008,8,auto(l5),4,13,17,r,pickup,27/04/20
68,dodge,ram 1500 pickup 4wd,4.7,2008,8,auto(l5),4,13,17,r,pickup,24/03/20
69,dodge,ram 1500 pickup 4wd,4.7,2008,8,manual(m6),4,12,16,r,pickup,18/07/20
70,dodge,ram 1500 pickup 4wd,4.7,2008,8,manual(m6),4,9,12,e,pickup,24/07/20
71,dodge,ram 1500 pickup 4wd,5.2,1999,8,auto(l4),4,11,15,r,pickup,05/02/20
72,dodge,ram 1500 pickup 4wd,5.2,1999,8,manual(m5),4,11,16,r,pickup,23/01/20
73,dodge,ram 1500 pickup 4wd,5.7,2008,8,auto(l5),4,13,17,r,pickup,29/03/20
74,dodge,ram 1500 pickup 4wd,5.9,1999,8,auto(l4),4,11,15,r,pickup,01/02/20
75,ford,expedition 2wd,4.6,1999,8,auto(l4),r,11,17,r,suv,28/01/20
76,ford,expedition 2wd,5.4,1999,8,auto(l4),r,11,17,r,suv,19/03/20
77,ford,expedition 2wd,5.4,2008,8,auto(l6),r,12,18,r,suv,28/06/20
78,ford,explorer 4wd,4,1999,6,auto(l5),4,14,17,r,suv,02/04/20
79,ford,explorer 4wd,4,1999,6,manual(m5),4,15,19,r,suv,17/02/20
80,ford,explorer 4wd,4,1999,6,auto(l5),4,14,17,r,suv,01/04/20
81,ford,explorer 4wd,4,2008,6,auto(l5),4,13,19,r,suv,20/05/20
82,ford,explorer 4wd,4.6,2008,8,auto(l6),4,13,19,r,suv,02/05/20
83,ford,explorer 4wd,5,1999,8,auto(l4),4,13,17,r,suv,23/01/20
84,ford,f150 pickup 4wd,4.2,1999,6,auto(l4),4,14,17,r,pickup,13/04/20
85,ford,f150 pickup 4wd,4.2,1999,6,manual(m5),4,14,17,r,pickup,23/01/20
86,ford,f150 pickup 4wd,4.6,1999,8,manual(m5),4,13,16,r,pickup,08/04/20
87,ford,f150 pickup 4wd,4.6,1999,8,auto(l4),4,13,16,r,pickup,28/01/20
88,ford,f150 pickup 4wd,4.6,2008,8,auto(l4),4,13,17,r,pickup,06/07/20
89,ford,f150 pickup 4wd,5.4,1999,8,auto(l4),4,11,15,r,pickup,13/03/20
90,ford,f150 pickup 4wd,5.4,2008,8,auto(l4),4,13,17,r,pickup,31/01/20
91,ford,mustang,3.8,1999,6,manual(m5),r,18,26,r,subcompact,28/01/20
92,ford,mustang,3.8,1999,6,auto(l4),r,18,25,r,subcompact,05/07/20
93,ford,mustang,4,2008,6,manual(m5),r,17,26,r,subcompact,26/05/20
94,ford,mustang,4,2008,6,auto(l5),r,16,24,r,subcompact,17/06/20
95,ford,mustang,4.6,1999,8,auto(l4),r,15,21,r,subcompact,15/03/20
96,ford,mustang,4.6,1999,8,manual(m5),r,15,22,r,subcompact,10/05/20
97,ford,mustang,4.6,2008,8,manual(m5),r,15,23,r,subcompact,29/06/20
98,ford,mustang,4.6,2008,8,auto(l5),r,15,22,r,subcompact,02/06/20
99,ford,mustang,5.4,2008,8,manual(m6),r,14,20,p,subcompact,02/02/20
100,honda,civic,1.6,1999,4,manual(m5),f,28,33,r,subcompact,26/06/20
101,honda,civic,1.6,1999,4,auto(l4),f,24,32,r,subcompact,27/06/20
102,honda,civic,1.6,1999,4,manual(m5),f,25,32,r,subcompact,11/05/20
103,honda,civic,1.6,1999,4,manual(m5),f,23,29,p,subcompact,04/07/20
104,honda,civic,1.6,1999,4,auto(l4),f,24,32,r,subcompact,02/05/20
105,honda,civic,1.8,2008,4,manual(m5),f,26,34,r,subcompact,03/06/20
106,honda,civic,1.8,2008,4,auto(l5),f,25,36,r,subcompact,05/07/20
107,honda,civic,1.8,2008,4,auto(l5),f,24,36,c,subcompact,18/04/20
108,honda,civic,2,2008,4,manual(m6),f,21,29,p,subcompact,08/06/20
109,hyundai,sonata,2.4,1999,4,auto(l4),f,18,26,r,midsize,23/07/20
110,hyundai,sonata,2.4,1999,4,manual(m5),f,18,27,r,midsize,12/05/20
111,hyundai,sonata,2.4,2008,4,auto(l4),f,21,30,r,midsize,27/02/20
112,hyundai,sonata,2.4,2008,4,manual(m5),f,21,31,r,midsize,03/03/20
113,hyundai,sonata,2.5,1999,6,auto(l4),f,18,26,r,midsize,27/07/20
114,hyundai,sonata,2.5,1999,6,manual(m5),f,18,26,r,midsize,03/02/20
115,hyundai,sonata,3.3,2008,6,auto(l5),f,19,28,r,midsize,21/01/20
116,hyundai,tiburon,2,1999,4,auto(l4),f,19,26,r,subcompact,22/04/20
117,hyundai,tiburon,2,1999,4,manual(m5),f,19,29,r,subcompact,30/03/20
118,hyundai,tiburon,2,2008,4,manual(m5),f,20,28,r,subcompact,20/02/20
119,hyundai,tiburon,2,2008,4,auto(l4),f,20,27,r,subcompact,18/04/20
120,hyundai,tiburon,2.7,2008,6,auto(l4),f,17,24,r,subcompact,08/07/20
121,hyundai,tiburon,2.7,2008,6,manual(m6),f,16,24,r,subcompact,29/01/20
122,hyundai,tiburon,2.7,2008,6,manual(m5),f,17,24,r,subcompact,27/07/20
123,jeep,grand cherokee 4wd,3,2008,6,auto(l5),4,17,22,d,suv,04/02/20
124,jeep,grand cherokee 4wd,3.7,2008,6,auto(l5),4,15,19,r,suv,19/05/20
125,jeep,grand cherokee 4wd,4,1999,6,auto(l4),4,15,20,r,suv,19/04/20
126,jeep,grand cherokee 4wd,4.7,1999,8,auto(l4),4,14,17,r,suv,11/05/20
127,jeep,grand cherokee 4wd,4.7,2008,8,auto(l5),4,9,12,e,suv,24/06/20
128,jeep,grand cherokee 4wd,4.7,2008,8,auto(l5),4,14,19,r,suv,15/04/20
129,jeep,grand cherokee 4wd,5.7,2008,8,auto(l5),4,13,18,r,suv,13/04/20
130,jeep,grand cherokee 4wd,6.1,2008,8,auto(l5),4,11,14,p,suv,11/06/20
131,land rover,range rover,4,1999,8,auto(l4),4,11,15,p,suv,23/02/20
132,land rover,range rover,4.2,2008,8,auto(s6),4,12,18,r,suv,04/07/20
133,land rover,range rover,4.4,2008,8,auto(s6),4,12,18,r,suv,27/01/20
134,land rover,range rover,4.6,1999,8,auto(l4),4,11,15,p,suv,16/07/20
135,lincoln,navigator 2wd,5.4,1999,8,auto(l4),r,11,17,r,suv,19/07/20
136,lincoln,navigator 2wd,5.4,1999,8,auto(l4),r,11,16,p,suv,04/03/20
137,lincoln,navigator 2wd,5.4,2008,8,auto(l6),r,12,18,r,suv,05/06/20
138,mercury,mountaineer 4wd,4,1999,6,auto(l5),4,14,17,r,suv,17/07/20
139,mercury,mountaineer 4wd,4,2008,6,auto(l5),4,13,19,r,suv,02/03/20
140,mercury,mountaineer 4wd,4.6,2008,8,auto(l6),4,13,19,r,suv,26/04/20
141,mercury,mountaineer 4wd,5,1999,8,auto(l4),4,13,17,r,suv,01/04/20
142,nissan,altima,2.4,1999,4,manual(m5),f,21,29,r,compact,19/02/20
143,nissan,altima,2.4,1999,4,auto(l4),f,19,27,r,compact,04/08/20
144,nissan,altima,2.5,2008,4,auto(av),f,23,31,r,midsize,14/07/20
145,nissan,altima,2.5,2008,4,manual(m6),f,23,32,r,midsize,23/06/20
146,nissan,altima,3.5,2008,6,manual(m6),f,19,27,p,midsize,21/04/20
147,nissan,altima,3.5,2008,6,auto(av),f,19,26,p,midsize,11/05/20
148,nissan,maxima,3,1999,6,auto(l4),f,18,26,r,midsize,19/02/20
149,nissan,maxima,3,1999,6,manual(m5),f,19,25,r,midsize,17/07/20
150,nissan,maxima,3.5,2008,6,auto(av),f,19,25,p,midsize,02/06/20
151,nissan,pathfinder 4wd,3.3,1999,6,auto(l4),4,14,17,r,suv,26/05/20
152,nissan,pathfinder 4wd,3.3,1999,6,manual(m5),4,15,17,r,suv,20/02/20
153,nissan,pathfinder 4wd,4,2008,6,auto(l5),4,14,20,p,suv,19/02/20
154,nissan,pathfinder 4wd,5.6,2008,8,auto(s5),4,12,18,p,suv,15/05/20
155,pontiac,grand prix,3.1,1999,6,auto(l4),f,18,26,r,midsize,29/02/20
156,pontiac,grand prix,3.8,1999,6,auto(l4),f,16,26,p,midsize,29/02/20
157,pontiac,grand prix,3.8,1999,6,auto(l4),f,17,27,r,midsize,17/05/20
158,pontiac,grand prix,3.8,2008,6,auto(l4),f,18,28,r,midsize,31/07/20
159,pontiac,grand prix,5.3,2008,8,auto(s4),f,16,25,p,midsize,22/01/20
160,subaru,forester awd,2.5,1999,4,manual(m5),4,18,25,r,suv,05/04/20
161,subaru,forester awd,2.5,1999,4,auto(l4),4,18,24,r,suv,24/07/20
162,subaru,forester awd,2.5,2008,4,manual(m5),4,20,27,r,suv,02/06/20
163,subaru,forester awd,2.5,2008,4,manual(m5),4,19,25,p,suv,17/04/20
164,subaru,forester awd,2.5,2008,4,auto(l4),4,20,26,r,suv,11/05/20
165,subaru,forester awd,2.5,2008,4,auto(l4),4,18,23,p,suv,06/06/20
166,subaru,impreza awd,2.2,1999,4,auto(l4),4,21,26,r,subcompact,05/03/20
167,subaru,impreza awd,2.2,1999,4,manual(m5),4,19,26,r,subcompact,23/01/20
168,subaru,impreza awd,2.5,1999,4,manual(m5),4,19,26,r,subcompact,26/06/20
169,subaru,impreza awd,2.5,1999,4,auto(l4),4,19,26,r,subcompact,18/06/20
170,subaru,impreza awd,2.5,2008,4,auto(s4),4,20,25,p,compact,04/07/20
171,subaru,impreza awd,2.5,2008,4,auto(s4),4,20,27,r,compact,27/07/20
172,subaru,impreza awd,2.5,2008,4,manual(m5),4,19,25,p,compact,02/08/20
173,subaru,impreza awd,2.5,2008,4,manual(m5),4,20,27,r,compact,20/03/20
174,toyota,4runner 4wd,2.7,1999,4,manual(m5),4,15,20,r,suv,10/02/20
175,toyota,4runner 4wd,2.7,1999,4,auto(l4),4,16,20,r,suv,21/03/20
176,toyota,4runner 4wd,3.4,1999,6,auto(l4),4,15,19,r,suv,20/01/20
177,toyota,4runner 4wd,3.4,1999,6,manual(m5),4,15,17,r,suv,28/04/20
178,toyota,4runner 4wd,4,2008,6,auto(l5),4,16,20,r,suv,22/05/20
179,toyota,4runner 4wd,4.7,2008,8,auto(l5),4,14,17,r,suv,16/02/20
180,toyota,camry,2.2,1999,4,manual(m5),f,21,29,r,midsize,11/02/20
181,toyota,camry,2.2,1999,4,auto(l4),f,21,27,r,midsize,11/07/20
182,toyota,camry,2.4,2008,4,manual(m5),f,21,31,r,midsize,29/04/20
183,toyota,camry,2.4,2008,4,auto(l5),f,21,31,r,midsize,02/02/20
184,toyota,camry,3,1999,6,auto(l4),f,18,26,r,midsize,26/07/20
185,toyota,camry,3,1999,6,manual(m5),f,18,26,r,midsize,17/03/20
186,toyota,camry,3.5,2008,6,auto(s6),f,19,28,r,midsize,30/06/20
187,toyota,camry solara,2.2,1999,4,auto(l4),f,21,27,r,compact,23/04/20
188,toyota,camry solara,2.2,1999,4,manual(m5),f,21,29,r,compact,20/02/20
189,toyota,camry solara,2.4,2008,4,manual(m5),f,21,31,r,compact,25/04/20
190,toyota,camry solara,2.4,2008,4,auto(s5),f,22,31,r,compact,29/06/20
191,toyota,camry solara,3,1999,6,auto(l4),f,18,26,r,compact,17/02/20
192,toyota,camry solara,3,1999,6,manual(m5),f,18,26,r,compact,05/07/20
193,toyota,camry solara,3.3,2008,6,auto(s5),f,18,27,r,compact,28/01/20
194,toyota,corolla,1.8,1999,4,auto(l3),f,24,30,r,compact,01/02/20
195,toyota,corolla,1.8,1999,4,auto(l4),f,24,33,r,compact,29/02/20
196,toyota,corolla,1.8,1999,4,manual(m5),f,26,35,r,compact,14/07/20
197,toyota,corolla,1.8,2008,4,manual(m5),f,28,37,r,compact,16/05/20
198,toyota,corolla,1.8,2008,4,auto(l4),f,26,35,r,compact,04/04/20
199,toyota,land cruiser wagon 4wd,4.7,1999,8,auto(l4),4,11,15,r,suv,19/03/20
200,toyota,land cruiser wagon 4wd,5.7,2008,8,auto(s6),4,13,18,r,suv,29/05/20
201,toyota,toyota tacoma 4wd,2.7,1999,4,manual(m5),4,15,20,r,pickup,22/04/20
202,toyota,toyota tacoma 4wd,2.7,1999,4,auto(l4),4,16,20,r,pickup,21/06/20
203,toyota,toyota tacoma 4wd,2.7,2008,4,manual(m5),4,17,22,r,pickup,08/07/20
204,toyota,toyota tacoma 4wd,3.4,1999,6,manual(m5),4,15,17,r,pickup,08/03/20
205,toyota,toyota tacoma 4wd,3.4,1999,6,auto(l4),4,15,19,r,pickup,22/06/20
206,toyota,toyota tacoma 4wd,4,2008,6,manual(m6),4,15,18,r,pickup,23/07/20
207,toyota,toyota tacoma 4wd,4,2008,6,auto(l5),4,16,20,r,pickup,18/01/20
208,volkswagen,gti,2,1999,4,manual(m5),f,21,29,r,compact,01/08/20
209,volkswagen,gti,2,1999,4,auto(l4),f,19,26,r,compact,02/02/20
210,volkswagen,gti,2,2008,4,manual(m6),f,21,29,p,compact,20/02/20
211,volkswagen,gti,2,2008,4,auto(s6),f,22,29,p,compact,24/02/20
212,volkswagen,gti,2.8,1999,6,manual(m5),f,17,24,r,compact,13/07/20
213,volkswagen,jetta,1.9,1999,4,manual(m5),f,33,44,d,compact,09/05/20
214,volkswagen,jetta,2,1999,4,manual(m5),f,21,29,r,compact,06/07/20
215,volkswagen,jetta,2,1999,4,auto(l4),f,19,26,r,compact,06/07/20
216,volkswagen,jetta,2,2008,4,auto(s6),f,22,29,p,compact,06/04/20
217,volkswagen,jetta,2,2008,4,manual(m6),f,21,29,p,compact,01/07/20
218,volkswagen,jetta,2.5,2008,5,auto(s6),f,21,29,r,compact,25/04/20
219,volkswagen,jetta,2.5,2008,5,manual(m5),f,21,29,r,compact,06/04/20
220,volkswagen,jetta,2.8,1999,6,auto(l4),f,16,23,r,compact,27/03/20
221,volkswagen,jetta,2.8,1999,6,manual(m5),f,17,24,r,compact,11/02/20
222,volkswagen,new beetle,1.9,1999,4,manual(m5),f,35,44,d,subcompact,05/05/20
223,volkswagen,new beetle,1.9,1999,4,auto(l4),f,29,41,d,subcompact,29/04/20
224,volkswagen,new beetle,2,1999,4,manual(m5),f,21,29,r,subcompact,31/03/20
225,volkswagen,new beetle,2,1999,4,auto(l4),f,19,26,r,subcompact,24/03/20
226,volkswagen,new beetle,2.5,2008,5,manual(m5),f,20,28,r,subcompact,17/03/20
227,volkswagen,new beetle,2.5,2008,5,auto(s6),f,20,29,r,subcompact,04/06/20
228,volkswagen,passat,1.8,1999,4,manual(m5),f,21,29,p,midsize,01/05/20
229,volkswagen,passat,1.8,1999,4,auto(l5),f,18,29,p,midsize,05/07/20
230,volkswagen,passat,2,2008,4,auto(s6),f,19,28,p,midsize,04/03/20
231,volkswagen,passat,2,2008,4,manual(m6),f,21,29,p,midsize,13/06/20
232,volkswagen,passat,2.8,1999,6,auto(l5),f,16,26,p,midsize,07/04/20
233,volkswagen,passat,2.8,1999,6,manual(m5),f,18,26,p,midsize,07/04/20
234,volkswagen,passat,3.6,2008,6,auto(s6),f,17,26,p,midsize,24/02/20
